text,label
"Battery drains faster than I expected after 2 months of use, otherwise works fine.",0
"Delivery took 5 days, packaging was a bit damaged but the product itself was fine.",0
Color is slightly different from the pictures but overall happy with the purchase.,0
"Used it for about three weeks now, the stitching on one side is already coming loose.",0
"Works as described, sound quality is decent for the price, not amazing.",0
"My kid dropped it once and the screen cracked, so be careful with the build quality.",0
"Ordered a size M but it fit more like a size S, would recommend sizing up.",0
"Setup was straightforward, took about ten minutes to get everything connected to wifi.",0
"The zipper on the left pocket is a bit stiff, other than that no complaints so far.",0
"Noticed some scratches on the surface right out of the box, might have been from shipping.",0
Instructions were a little confusing but customer support helped me sort it out quickly.,0
"It is heavier than I thought it would be, but the build feels sturdy.",0
"Charging cable included is shorter than my old one, had to buy a longer one separately.",0
"The fabric feels a bit thinner than the listing photos suggested, still decent quality.",0
Works well outdoors but the display is hard to read in direct sunlight.,0
Took a firmware update right after unboxing which fixed a minor connectivity issue.,0
One of the buttons feels slightly loose but everything still functions properly.,0
"The smell of new plastic was strong for the first day, faded after airing it out.",0
"Arrived a day earlier than expected, box had a small dent but contents were fine.",0
"Sizing chart was accurate for me, fits true to size in the shoulders.",0
"Had to tighten a couple of screws myself after assembly, otherwise easy to put together.",0
"Not as waterproof as advertised, got a bit damp during light rain.",0
Great for the price point though I probably wouldn't pay full retail for it.,0
The manual is only in one language which was inconvenient for me.,0
Replaced the batteries that came with it because they died within a week.,0
Slight rattling noise when shaken but doesn't affect how it performs.,0
"Customer service was slow to respond, took about four days to hear back.",0
The strap adjusts easily but doesn't stay in place as well as my previous one.,0
"Works fine with my phone case on, though it's a snug fit through the cutout.",0
"A bit bulkier in person than the photos made it look, still functional.",0
Best product ever!!! Highly recommend to everyone!!!,1
"Five stars, amazing quality, will buy again!",1
"Good product, value for money, as described.",1
Excellent product super fast delivery highly recommended!!!,1
Nice product good quality genuine product must buy!!!,1
Awesome product totally worth the price loved it!!!,1
"Perfect in every way, exceeded my expectations completely!!!",1
"Great value for money, quality is superb, recommended!!!",1
"Amazing product, arrived on time, very satisfied, five stars!!!",1
"Wonderful item, exactly as described, super happy customer!!!",1
"Superb quality, excellent packing, will definitely buy again!!!",1
"Very nice product, good quality, fast delivery, five stars!!!",1
"Excellent, value for money, must buy, highly recommended!!!",1
"Best in class product, amazing value, super fast delivery!!!",1
"Loved it, perfect quality, genuine product, five stars!!!",1
"Outstanding product, fast delivery, totally worth it!!!",1
"Nice one, good product, recommended, value for money!!!",1
"Excellent product, as described, good quality, five stars!!!",1
"Superb, amazing, perfect, best purchase ever, five stars!!!",1
"Genuine product, good quality, fast delivery, must buy!!!",1
"Great product, super quality, highly recommend to all!!!",1
"Best purchase this year, amazing quality, five stars!!!",1
"Awesome, excellent, perfect product, highly recommended!!!",1
"Value for money, good product, nice quality, five stars!!!",1
"Super product, excellent quality, fast delivery, recommended!!!",1
"Amazing quality, best price, super fast delivery, five stars!!!",1
"Perfect product, exactly as described, highly recommend!!!",1
"Excellent quality, great value, super happy, five stars!!!",1
"Best product, good quality, fast delivery, must buy now!!!",1
"Wonderful quality, amazing price, highly recommended, five stars!!!",1
